site_id,site_label,measure_id,measure_label
1,Stratford,1,Rainfall
1,Stratford,2,Wind speed
1,Stratford,3,Air temperature
1,Stratford,4,Wind direction
1,Stratford,10,Wind gust
2,Dawson Falls,1,Rainfall
2,Dawson Falls,3,Air temperature
4,Waiwhakaiho at Hillsborough,1,Rainfall
4,Waiwhakaiho at Hillsborough,2,Wind speed
4,Waiwhakaiho at Hillsborough,3,Air temperature
4,Waiwhakaiho at Hillsborough,4,Wind direction
4,Waiwhakaiho at Hillsborough,5,Soil moisture
4,Waiwhakaiho at Hillsborough,6,Soil temperature
4,Waiwhakaiho at Hillsborough,10,Wind gust
5,Inglewood,1,Rainfall
5,Inglewood,3,Air temperature
6,Kaikura below 7346,7,River level
6,Kaikura below 7346,8,Water temperature
6,Kaikura below 7346,9,River flow
7,Kapoaiaia at Kahui Hut,1,Rainfall
8,Kapoaiaia at Cape Egmont,1,Rainfall
8,Kapoaiaia at Cape Egmont,2,Wind speed
8,Kapoaiaia at Cape Egmont,3,Air temperature
8,Kapoaiaia at Cape Egmont,4,Wind direction
8,Kapoaiaia at Cape Egmont,5,Soil moisture
8,Kapoaiaia at Cape Egmont,6,Soil temperature
8,Kapoaiaia at Cape Egmont,7,River level
8,Kapoaiaia at Cape Egmont,8,Water temperature
8,Kapoaiaia at Cape Egmont,9,River flow
8,Kapoaiaia at Cape Egmont,10,Wind gust
9,Kapuni at Normanby Rd,7,River level
9,Kapuni at Normanby Rd,8,Water temperature
9,Kapuni at Normanby Rd,9,River flow
10,Kaupokonui at Glenn Rd,1,Rainfall
10,Kaupokonui at Glenn Rd,3,Air temperature
10,Kaupokonui at Glenn Rd,5,Soil moisture
10,Kaupokonui at Glenn Rd,6,Soil temperature
10,Kaupokonui at Glenn Rd,14,Dissolved Oxygen - Saturation
10,Kaupokonui at Glenn Rd,15,Barometric pressure
10,Kaupokonui at Glenn Rd,16,Dissolved Oxygen - Concentration
11,Ahititi,1,Rainfall
11,Ahititi,5,Soil moisture
11,Ahititi,6,Soil temperature
12,Mangaehu at Huinga,1,Rainfall
12,Mangaehu at Huinga,7,River level
12,Mangaehu at Huinga,9,River flow
12,Mangaehu at Huinga,14,Dissolved Oxygen - Saturation
12,Mangaehu at Huinga,16,Dissolved Oxygen - Concentration
13,Manganui at Everett Park,1,Rainfall
13,Manganui at Everett Park,7,River level
13,Manganui at Everett Park,8,Water temperature
13,Manganui at Everett Park,9,River flow
14,Manganui at SH3 Midhirst,7,River level
14,Manganui at SH3 Midhirst,9,River flow
16,Mangaoraka at Corbett Rd,7,River level
16,Mangaoraka at Corbett Rd,8,Water temperature
16,Mangaoraka at Corbett Rd,9,River flow
17,Mangati at SH3,1,Rainfall
17,Mangati at SH3,3,Air temperature
17,Mangati at SH3,7,River level
17,Mangati at SH3,8,Water temperature
17,Mangati at SH3,9,River flow
17,Mangati at SH3,14,Dissolved Oxygen - Saturation
17,Mangati at SH3,16,Dissolved Oxygen - Concentration
18,Mangorei at Pipebridge,7,River level
18,Mangorei at Pipebridge,8,Water temperature
18,Mangorei at Pipebridge,9,River flow
20,Mangawheroiti Above Intake W.W,7,River level
20,Mangawheroiti Above Intake W.W,8,Water temperature
20,Mangawheroiti Above Intake W.W,9,River flow
21,Motunui,1,Rainfall
21,Motunui,3,Air temperature
21,Motunui,5,Soil moisture
21,Motunui,6,Soil temperature
22,Ngatoro at SH3,7,River level
22,Ngatoro at SH3,8,Water temperature
22,Ngatoro at SH3,9,River flow
23,Waitotara at Ngutuwera,1,Rainfall
23,Waitotara at Ngutuwera,2,Wind speed
23,Waitotara at Ngutuwera,3,Air temperature
23,Waitotara at Ngutuwera,4,Wind direction
23,Waitotara at Ngutuwera,10,Wind gust
24,North Egmont at Visitors Centre,1,Rainfall
24,North Egmont at Visitors Centre,3,Air temperature
25,Omahine at Moana Trig,1,Rainfall
26,Omaru at Charlies,1,Rainfall
27,North of Patea,1,Rainfall
27,North of Patea,2,Wind speed
27,North of Patea,3,Air temperature
27,North of Patea,4,Wind direction
27,North of Patea,5,Soil moisture
27,North of Patea,6,Soil temperature
27,North of Patea,10,Wind gust
28,Patea at McColls Bridge,7,River level
28,Patea at McColls Bridge,8,Water temperature
28,Patea at McColls Bridge,9,River flow
29,Patea at Skinner Rd,7,River level
29,Patea at Skinner Rd,8,Water temperature
29,Patea at Skinner Rd,9,River flow
29,Patea at Skinner Rd,14,Dissolved Oxygen - Saturation
29,Patea at Skinner Rd,15,Barometric pressure
29,Patea at Skinner Rd,16,Dissolved Oxygen - Concentration
30,Pohokura Saddle,1,Rainfall
30,Pohokura Saddle,5,Soil moisture
30,Pohokura Saddle,6,Soil temperature
31,Punehu at Pihama,7,River level
31,Punehu at Pihama,9,River flow
32,Stony at Mangatete Bridge,1,Rainfall
32,Stony at Mangatete Bridge,3,Air temperature
32,Stony at Mangatete Bridge,5,Soil moisture
32,Stony at Mangatete Bridge,6,Soil temperature
32,Stony at Mangatete Bridge,7,River level
33,Taungatara at Eltham Rd,1,Rainfall
33,Taungatara at Eltham Rd,2,Wind speed
33,Taungatara at Eltham Rd,3,Air temperature
33,Taungatara at Eltham Rd,4,Wind direction
33,Taungatara at Eltham Rd,5,Soil moisture
33,Taungatara at Eltham Rd,6,Soil temperature
33,Taungatara at Eltham Rd,10,Wind gust
34,Tawhiti at Whareroa,1,Rainfall
34,Tawhiti at Whareroa,3,Air temperature
34,Tawhiti at Whareroa,7,River level
34,Tawhiti at Whareroa,8,Water temperature
34,Tawhiti at Whareroa,9,River flow
35,Tawhiti at Tawhiti Rd,7,River level
35,Tawhiti at Tawhiti Rd,8,Water temperature
35,Tawhiti at Tawhiti Rd,9,River flow
36,Timaru at Tataraimaka,7,River level
36,Timaru at Tataraimaka,8,Water temperature
36,Timaru at Tataraimaka,9,River flow
37,Uruti at Kaka Rd,1,Rainfall
37,Uruti at Kaka Rd,2,Wind speed
37,Uruti at Kaka Rd,4,Wind direction
37,Uruti at Kaka Rd,5,Soil moisture
37,Uruti at Kaka Rd,6,Soil temperature
37,Uruti at Kaka Rd,10,Wind gust
39,Waingongoro at Eltham Rd,7,River level
39,Waingongoro at Eltham Rd,8,Water temperature
39,Waingongoro at Eltham Rd,9,River flow
40,Waiokura at Winks Rd,7,River level
40,Waiokura at Winks Rd,9,River flow
41,Waiongana at SH3a,7,River level
41,Waiongana at SH3a,8,Water temperature
41,Waiongana at SH3a,9,River flow
42,Waitara at Bertrand Rd,7,River level
42,Waitara at Bertrand Rd,8,Water temperature
42,Waitara at Bertrand Rd,9,River flow
43,Waitara at Purangi Bridge,7,River level
43,Waitara at Purangi Bridge,9,River flow
45,Waitotara at Hawken Rd,1,Rainfall
45,Waitotara at Hawken Rd,3,Air temperature
47,Waitotara at Township,7,River level
48,Waiwhakaiho at Egmont Village,1,Rainfall
48,Waiwhakaiho at Egmont Village,7,River level
48,Waiwhakaiho at Egmont Village,8,Water temperature
48,Waiwhakaiho at Egmont Village,9,River flow
